Position,Country,Score,Classification,KPIs-PC,KPIs-R,KPIs-E,KPIs-ICT,KPIs-GH,Region,ShowLabel,Label
1,United States of America,89.04,Core AI Nation,0,ED+,1300.4492,"$102,266,000,000.00",32410529,North America,TRUE,USA
2,China,77.14,Core AI Nation,24.7,CA,3825.4305,"$73,608,543,370.33",11351939,Indo-Pacific,TRUE,China
3,France,69.94,Core AI Nation,0,LD-,164.07812,"$29,318,580,351.01",4034001,Europe & Eurasia,TRUE,France
4,United Kingdom of Great Britain and Northern Ireland,68.07,Core AI Nation,0,ED+,108.07939,"$64,962,179,229.66",5559767,Europe & Eurasia,TRUE,UK
5,Germany,67.63,Core AI Nation,5,LD,276.14445,"$59,436,995,901.93",5255625,Europe & Eurasia,FALSE,
6,Japan,66.01,Core AI Nation,46.4,LD,344.75052,"$14,737,077,018.26",5433912,Indo-Pacific,FALSE,
7,Canada,65.9,Core AI Nation,34.2,ED+,155.60907,"$24,752,633,587.69",3991305,North America,TRUE,Canada
8,Republic of Korea,64.64,Core AI Nation,8.1,LD,157.14698,"$18,720,800,000.00",3145730,Indo-Pacific,TRUE,South Korea
9,Singapore,64.63,Core AI Nation,33.5,EA,12.91682,"$33,599,143,370.68",2170580,Indo-Pacific,TRUE,Singapore
10,Australia,62.76,Semi-Periphery AI Nation,35.1,LD,118.30063,"$3,105,487,195.27",2368357,Indo-Pacific,FALSE,Australia
11,Netherlands,62.56,Semi-Periphery AI Nation,9.6,LD,62.6244,"$29,340,716,452.60",2185318,Europe & Eurasia,TRUE,Netherlands
12,Switzerland,60.33,Semi-Periphery AI Nation,20,LD,29.45983,"$25,072,781,471.68",781300,Europe & Eurasia,FALSE,
13,Italy,59.63,Semi-Periphery AI Nation,7.4,LD-,143.68006,"$10,552,459,962.80",1989642,Europe & Eurasia,FALSE,
14,United Arab Emirates,59.36,Semi-Periphery AI Nation,20.7,CA,51.27353,"$8,304,969,366.92",656185,Middle East & Central Asia,TRUE,UAE
15,Spain,59.08,Semi-Periphery AI Nation,0,LD,142.47471,"$26,644,819,992.20",2802085,Europe & Eurasia,FALSE,Spain
16,Sweden,58.11,Semi-Periphery AI Nation,4,LD,54.6186,"$27,243,794,901.26",1029024,Europe & Eurasia,FALSE,Sweden
17,Israel,57.79,Semi-Periphery AI Nation,3.4,ED+,26.6641,"$59,759,500,000.00",935953,Middle East & Central Asia,TRUE,Israel
18,Norway,57.77,Semi-Periphery AI Nation,0,LD,41.25935,"$5,666,436,945.86",510054,Europe & Eurasia,FALSE,
19,India,56.86,Semi-Periphery AI Nation,34.4,EA,572.98154,"$200,343,788,282.56",26727004,Indo-Pacific,TRUE,India
20,Ireland,56.32,Semi-Periphery AI Nation,0,LD,13.76729,"$301,732,326,532.08",487502,Europe & Eurasia,TRUE,Ireland
21,Finland,55.42,Semi-Periphery AI Nation,4.7,LD,26.01623,"$14,309,364,752.57",538218,Europe & Eurasia,FALSE,Finland
22,Denmark,54.78,Semi-Periphery AI Nation,0,LD,19.8454,"$9,611,092,436.70",543334,Europe & Eurasia,FALSE,
23,Brazil,54.68,Semi-Periphery AI Nation,0,ED+,261.59459,"$7,440,671,937.69",8317960,Central & South America,TRUE,Brazil
24,Austria,54.6,Semi-Periphery AI Nation,18.4,LD-,36.81574,"$13,642,233,295.75",611388,Europe & Eurasia,FALSE,
25,Saudi Arabia,54.21,Semi-Periphery AI Nation,5.4,CA,101.052,"$2,509,479,111.88",988061,Middle East & Central Asia,FALSE,Saudi Arabia
26,Poland,53.94,Semi-Periphery AI Nation,0,ED,71.84035,"$22,112,000,000.00",2074728,Europe & Eurasia,FALSE,
27,Taiwan,52.43,Semi-Periphery AI Nation,3.7,LD,,,1890259,Indo-Pacific,TRUE,Taiwan
28,Malaysia,50.75,Semi-Periphery AI Nation,9.4,ED-,39.24855,"$4,623,972,785.34",1139033,Indo-Pacific,FALSE,
29,Czechia,50.17,Semi-Periphery AI Nation,22,LD,22.47214,"$8,635,997,823.02",606127,Europe & Eurasia,FALSE,
30,Portugal,49.72,Semi-Periphery AI Nation,0,ED,26.87355,"$5,309,029,498.95",740488,Europe & Eurasia,FALSE,Portugal
31,Belgium,49.65,Semi-Periphery AI Nation,23.7,LD,26.859,"$23,772,123,495.80",748934,Europe & Eurasia,FALSE,
32,Thailand,48.28,Semi-Periphery AI Nation,42.8,EA,61.60372,"$465,579,231.25",1570196,Indo-Pacific,FALSE,
33,Russian Federation,47.96,Semi-Periphery AI Nation,0,EA,252.20576,"$2,698,030,000.00",4627668,Europe & Eurasia,TRUE,Russia
34,New Zealand,47.25,Semi-Periphery AI Nation,64.5,LD,11.24188,"$1,107,097,583.41",441201,Indo-Pacific,FALSE,New Zealand
35,Indonesia,46.93,Semi-Periphery AI Nation,0,EA+,94.2544,"$4,089,565,622.03",5270032,Indo-Pacific,FALSE,
36,Luxembourg,46.59,Periphery AI Nation,37.4,LD,1.20426,"$5,705,794,078.00",61847,Europe & Eurasia,FALSE,
37,Bahrain,46.55,Periphery AI Nation,0,CA,10.68081,"$1,406,648,936.17",62656,Middle East & Central Asia,FALSE,
38,Slovenia,46.06,Periphery AI Nation,0,ED,4.84208,"$1,384,562,488.72",117306,Europe & Eurasia,FALSE,
39,Viet Nam,46.01,Periphery AI Nation,0,CA,87.59966,,2972715,Indo-Pacific,FALSE,
40,South Africa,45.9,Periphery AI Nation,0,ED,67.28849,"$1,706,339,819.33",1058997,Africa,FALSE,
41,Chile,45.44,Periphery AI Nation,4,LD-,40.26555,"$764,069,244.55",809093,Central & South America,TRUE,Chile
42,Estonia,45.04,Periphery AI Nation,0,LD,3.42936,"$3,907,740,648.39",149001,Europe & Eurasia,TRUE,Estonia
43,Iceland,44.89,Periphery AI Nation,7.4,LD,2.99783,"$866,512,543.80",42927,Europe & Eurasia,FALSE,
44,Lithuania,44.87,Periphery AI Nation,0,LD-,7.669,"$3,583,933,605.54",227028,Europe & Eurasia,FALSE,
45,Hungary,44.4,Periphery AI Nation,6.2,EA,15.6631,"$4,859,716,636.82",464901,Europe & Eurasia,FALSE,
46,Qatar,43.86,Periphery AI Nation,13.7,CA,12.2861,"$578,021,978.02",109057,Middle East & Central Asia,TRUE,Qatar
47,Malta,43.62,Periphery AI Nation,4.7,ED+,0.85663,"$448,442,444.62",43600,Europe & Eurasia,FALSE,
48,Türkiye,43.19,Periphery AI Nation,0,EA,122.80279,"$5,336,000,000.00",2544065,Europe & Eurasia,FALSE,
49,Egypt,42.58,Periphery AI Nation,0,EA,63.20353,"$2,061,400,000.00",1626418,Middle East & Central Asia,FALSE,
50,Greece,42.5,Periphery AI Nation,0,ED,30.44972,"$1,777,124,295.72",394067,Europe & Eurasia,FALSE,Greece
51,Ukraine,42.48,Periphery AI Nation,0,EA,24.36,"$6,610,000,000.00",1729006,Europe & Eurasia,FALSE,
52,Philippines,42.47,Periphery AI Nation,0,EA,31.8478,"$8,827,634,084.76",2815527,Indo-Pacific,FALSE,
53,Bulgaria,41.89,Periphery AI Nation,8.8,ED,16.64658,"$4,781,510,000.00",362099,Europe & Eurasia,FALSE,
54,Romania,41.86,Periphery AI Nation,0,ED,22.4936,"$13,020,041,811.32",795527,Europe & Eurasia,FALSE,
55,Cyprus,41.07,Periphery AI Nation,0,LD-,2.54137,"$10,030,920,648.08",96793,Europe & Eurasia,FALSE,
56,Colombia,40.09,Periphery AI Nation,0,ED,21.34532,"$2,309,838,336.22",1670892,Central & South America,FALSE,
57,Latvia,39.82,Periphery AI Nation,0,LD,3.82615,"$1,774,217,198.27",190889,Europe & Eurasia,FALSE,
58,Kazakhstan,39.58,Periphery AI Nation,10.3,EA,26.68369,"$1,355,233,820.00",463403,Middle East & Central Asia,FALSE,
59,Uruguay,39.48,Periphery AI Nation,0,LD-,5.27806,"$1,502,706,315.04",160501,Central & South America,TRUE,Uruguay
